"id","statistic","value","unit","formatted","as_of","topic","confidence","context","primary_source_publisher","primary_source_title","primary_source_url","primary_source_year","sources_json","report_urls","trend_note"
"fiverr-active-buyer-decline","Fiverr active buyer base decline","13.6","%","13.6%","2025","Hiring Volume","verified","Fiverr's active buyer base fell 13.6% to 3.1 million, a signal of softening volume on horizontal freelance marketplaces.","Fiverr International Ltd.","Fiverr Announces Fourth Quarter and Full Year 2025 Results","https://www.globenewswire.com/news-release/2026/02/18/3239912/0/en/Fiverr-Announces-Fourth-Quarter-and-Full-Year-2025-Results.html","","[{""id"":""fiverr-international-ltd-skzg0"",""publisher"":""Fiverr International Ltd."",""title"":""Fiverr Announces Fourth Quarter and Full Year 2025 Results"",""url"":""https://www.globenewswire.com/news-release/2026/02/18/3239912/0/en/Fiverr-Announces-Fourth-Quarter-and-Full-Year-2025-Results.html""}]","https://airecruiter.co/blog/talent-marketplaces-forecast-2026","Down from 3.6 million active buyers a year earlier."
"applications-per-hire","Applications per hire","291","","291","Q1 2026","Talent Supply","verified","It now takes roughly 291 applications to make one hire, a flood that reshapes screening economics.","Ashby","2026 Recruiter Productivity Trends Report","https://www.ashbyhq.com/talent-trends-report/reports/2023-recruiter-productivity-trends-report","2026","[{""id"":""ashby-1vx29"",""publisher"":""Ashby"",""title"":""2026 Recruiter Productivity Trends Report"",""url"":""https://www.ashbyhq.com/talent-trends-report/reports/2023-recruiter-productivity-trends-report"",""year"":""2026""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026","Tripled from about 100 in early 2021."
"sales-team-turnover","B2B sales annual turnover","35","%","35%","2025","Talent Supply","verified","B2B sales teams churn around 35% of staff a year, keeping sales among the highest-replacement functions to source for.","Optifai","Sales Team Turnover Rate","https://optif.ai/learn/questions/sales-team-turnover-rate","","[{""id"":""optifai-3jd0h"",""publisher"":""Optifai"",""title"":""Sales Team Turnover Rate"",""url"":""https://optif.ai/learn/questions/sales-team-turnover-rate""},{""id"":""xactly-citing-hubspot-139hm"",""publisher"":""Xactly (citing HubSpot)"",""title"":""Xactly (citing HubSpot)"",""url"":""https://www.xactlycorp.com/blog/motivation/sales-turnover-statistics""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026",""
"linkedin-applications-per-minute","LinkedIn applications per minute","11000","","11,000","2025","Sourcing Channels","verified","LinkedIn processes about 11,000 job applications every minute, illustrating the AI-driven surge in application volume.","eWeek","AI Job Applications Flood LinkedIn","https://www.eweek.com/news/ai-job-applications-linkedin","","[{""id"":""eweek-k458p"",""publisher"":""eWeek"",""title"":""AI Job Applications Flood LinkedIn"",""url"":""https://www.eweek.com/news/ai-job-applications-linkedin""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026","A 45% year-over-year increase as of mid-2025."
"sourcing-top-ai-use-case","Recruiters citing sourcing as top AI use","58","%","58%","2018","Sourcing Channels","reported","In LinkedIn's 2018 global survey, 58% of recruiters using AI named candidate sourcing its single most useful application, ahead of screening and nurturing.","LinkedIn Talent Solutions","Global Recruiting Trends 2018: The 4 Ideas Changing How You Hire","https://news.linkedin.com/2018/1/global-recruiting-trends-2018","2018","[{""id"":""linkedin-global-recruiting-trends-2018"",""publisher"":""LinkedIn Talent Solutions"",""title"":""Global Recruiting Trends 2018: The 4 Ideas Changing How You Hire"",""url"":""https://news.linkedin.com/2018/1/global-recruiting-trends-2018"",""year"":""2018""}]","https://airecruiter.co/blog/sourcing-landscape-2026",""
"worktech-quarterly-acquisitions","Talent-tech acquisitions in Q3 2025","110","","110","Q3 2025","Recruiting Tech Market","verified","The worktech sector recorded 110 acquisitions in Q3 2025, its largest quarterly volume on record amid 90-100 deals per quarter.","Venero Capital","WorkTech Consolidation: Key Insights from HR Tech Jungle 2025","https://www.venerocapitaladvisors.com/news/worktech-consolidation-key-insights-from-hr-tech-jungle-2025","2025","[{""id"":""venero-capital-1ccjd"",""publisher"":""Venero Capital"",""title"":""WorkTech Consolidation: Key Insights from HR Tech Jungle 2025"",""url"":""https://www.venerocapitaladvisors.com/news/worktech-consolidation-key-insights-from-hr-tech-jungle-2025"",""year"":""2025""}]","https://airecruiter.co/blog/ta-market-map-2026
https://airecruiter.co/blog/ats-market-share-2026",""
"workday-paradox-acquisition","Workday acquisition of Paradox","1","$B","$1B","2025","Recruiting Tech Market","verified","Workday closed its roughly $1 billion all-cash acquisition of conversational-AI recruiter Paradox, a marquee consolidation move.","Global Legal Chronicle","Workday Acquires Paradox in $1 Billion Deal","https://globallegalchronicle.com/workday-acquires-paradox-in-1-billion-deal","","[{""id"":""global-legal-chronicle-1fuhn"",""publisher"":""Global Legal Chronicle"",""title"":""Workday Acquires Paradox in $1 Billion Deal"",""url"":""https://globallegalchronicle.com/workday-acquires-paradox-in-1-billion-deal""},{""id"":""workday-1oo4m"",""publisher"":""Workday"",""title"":""Workday"",""url"":""https://newsroom.workday.com/2025-10-01-Workday-Completes-Acquisition-of-Paradox""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026
https://airecruiter.co/blog/ta-market-map-2026",""
"mercor-valuation","Mercor Series C valuation","10","$B","$10B","2025-10","Recruiting Tech Market","verified","AI talent marketplace Mercor raised a $350M Series C at a $10 billion valuation, a fivefold jump in eight months.","TechCrunch","Mercor quintuples valuation to $10B with $350M Series C","https://techcrunch.com/2025/10/27/mercor-quintuples-valuation-to-10b-with-350m-series-c","","[{""id"":""techcrunch-145zp"",""publisher"":""TechCrunch"",""title"":""Mercor quintuples valuation to $10B with $350M Series C"",""url"":""https://techcrunch.com/2025/10/27/mercor-quintuples-valuation-to-10b-with-350m-series-c""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026
https://airecruiter.co/blog/agency-benchmark-q2-2026","5x its $2B Series B valuation in February 2025."
"linkedin-agentic-revenue-run-rate","LinkedIn agentic talent products annual sales","450","$M","$450M","2026","Recruiting Tech Market","verified","Microsoft disclosed LinkedIn's agentic Talent Solutions products are on track for about $450M in annual sales, proving real revenue behind recruiting AI.","Microsoft","Microsoft FY26 Third Quarter Earnings Conference Call (transcript)","https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3","2026","[{""id"":""microsoft-fy26-q3-earnings-call"",""publisher"":""Microsoft"",""title"":""Microsoft FY26 Third Quarter Earnings Conference Call (transcript)"",""url"":""https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3"",""year"":""2026""},{""id"":""reuters-via-investing-com-microsoft-fy20-17ncl"",""publisher"":""Reuters (via Investing.com); Microsoft FY2026 Q3 earnings"",""title"":""Reuters (via Investing.com); Microsoft FY2026 Q3 earnings"",""url"":""https://www.investing.com/news/stock-market-news/linkedins-ai-hiring-agents-on-track-for-450-million-in-yearly-revenue-4647236""}]","https://airecruiter.co/blog/sourcing-landscape-2026",""
"global-staffing-market-size","Global staffing market size","620","$B","$620B","2025","Recruiting Tech Market","modeled","Staffing Industry Analysts sized the global staffing market at roughly $620 billion in 2024 and expects 2025 to come in essentially flat, held back by trade and macroeconomic drag.","Staffing Industry Analysts (SIA)","Staffing Industry Analysts (SIA)","https://www.staffingindustry.com/research/research-reports/americas/global-staffing-market-estimates-forecasts-2025-2030-update","","[{""id"":""staffing-industry-analysts-sia-8uu6n"",""publisher"":""Staffing Industry Analysts (SIA)"",""title"":""Staffing Industry Analysts (SIA)"",""url"":""https://www.staffingindustry.com/research/research-reports/americas/global-staffing-market-estimates-forecasts-2025-2030-update""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026","Essentially flat against 2024, and still below the $648B 2022 peak."
"us-staffing-market-size","US staffing market size","178.7","$B","$178.7B","2025","Recruiting Tech Market","modeled","The US staffing industry generated roughly $178.7 billion in 2025 per SIA's Americas forecast, the largest single-country staffing market.","Staffing Industry Analysts","Forecast Estimates US Staffing Industry's Cumulative Growth by 2030","https://www.staffingindustry.com/news/global-daily-news/forecast-estimates-us-staffing-industrys-cumulative-growth-by-2030","2030","[{""id"":""staffing-industry-analysts-ukhpc"",""publisher"":""Staffing Industry Analysts"",""title"":""Forecast Estimates US Staffing Industry's Cumulative Growth by 2030"",""url"":""https://www.staffingindustry.com/news/global-daily-news/forecast-estimates-us-staffing-industrys-cumulative-growth-by-2030"",""year"":""2030""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026",""
"ats-market-leader-share","ATS market-share leader","11","%","11%","2025","Recruiting Tech Market","verified","The leading applicant tracking system holds only about 11% market share, underscoring a highly fragmented ATS landscape.","iCIMS","Apps Run the World 2025 ATS Market Share","https://www.icims.com/company/newsroom/appsruntheworld2025","2025","[{""id"":""icims-dic44"",""publisher"":""iCIMS"",""title"":""Apps Run the World 2025 ATS Market Share"",""url"":""https://www.icims.com/company/newsroom/appsruntheworld2025"",""year"":""2025""}]","https://airecruiter.co/blog/ats-market-share-2026",""
"ats-satisfaction","Companies satisfied with their ATS","28","%","28%","2025","Recruiting Tech Market","verified","Only 28% of companies are satisfied with their current ATS, with 82% reporting significant gaps and one in four planning to replace it.","Eightfold AI","The ATS Reimagined: New Research on What's Working, What's Not, and What's Next","https://eightfold.ai/learn/the-ats-reimagined-new-research-on-whats-working-whats-not-and-whats-next","","[{""id"":""eightfold-ai-1m8me"",""publisher"":""Eightfold AI"",""title"":""The ATS Reimagined: New Research on What's Working, What's Not, and What's Next"",""url"":""https://eightfold.ai/learn/the-ats-reimagined-new-research-on-whats-working-whats-not-and-whats-next""}]","https://airecruiter.co/blog/ats-market-share-2026",""
"hr-tech-investment","Total HR-tech investment","3.7","$B","$3.7B","2025","Recruiting Tech Market","modeled","HR technology investment totaled roughly $3.7 billion in 2025 by one tracker, though estimates diverge sharply on direction.","HRO Today (HR Tech Report)","HRO Today (HR Tech Report)","https://www.hrotoday.com/category/market-intelligence/research/hr-tech-report","","[{""id"":""hro-today-hr-tech-report-10x9g"",""publisher"":""HRO Today (HR Tech Report)"",""title"":""HRO Today (HR Tech Report)"",""url"":""https://www.hrotoday.com/category/market-intelligence/research/hr-tech-report""}]","https://airecruiter.co/blog/ta-market-map-2026","Reported down 40% YoY by HRO Today, while other trackers show work-tech investment rising."
"findem-funding","Findem Series C plus growth raise","51","$M","$51M","2025-10","Recruiting Tech Market","verified","Talent-data platform Findem closed $51M to expand its attribute-labeled talent dataset, a marker of investment flowing into AI sourcing.","Findem","Findem Series C Funding","https://www.findem.ai/news/findem-series-c-funding","","[{""id"":""findem-123ih"",""publisher"":""Findem"",""title"":""Findem Series C Funding"",""url"":""https://www.findem.ai/news/findem-series-c-funding""}]","https://airecruiter.co/blog/sourcing-landscape-2026",""
"ashby-series-d","Ashby Series D","50","$M","$50M","2025-07","Recruiting Tech Market","verified","ATS challenger Ashby raised a $50M Series D at roughly twice its prior valuation, capital fueling next-gen recruiting platforms.","Ashby","Ashby Series D","https://www.ashbyhq.com/blog/culture/series-d","","[{""id"":""ashby-vkxwh"",""publisher"":""Ashby"",""title"":""Ashby Series D"",""url"":""https://www.ashbyhq.com/blog/culture/series-d""}]","https://airecruiter.co/blog/ats-market-share-2026",""
"deel-valuation","Deel Series E valuation","17.3","$B","$17.3B","2025-10","Contingent Talent","verified","Global contractor and payroll platform Deel raised a $300M Series E at a $17.3 billion valuation, having surpassed $1B in revenue run rate.","TechCrunch","Deel Hits $17.3B Valuation After Raising $300M from Big-Name VCs","https://techcrunch.com/2025/10/16/deel-hits-17-3b-valuation-after-raising-300m-from-big-name-vcs","","[{""id"":""techcrunch-js49c"",""publisher"":""TechCrunch"",""title"":""Deel Hits $17.3B Valuation After Raising $300M from Big-Name VCs"",""url"":""https://techcrunch.com/2025/10/16/deel-hits-17-3b-valuation-after-raising-300m-from-big-name-vcs""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026
https://airecruiter.co/blog/talent-marketplaces-forecast-2026",""
"companies-using-freelancers","Companies using freelancers or contractors","76","%","76%","2025","Contingent Talent","reported","Roughly 76% of companies now use freelancers or contractors to build more adaptable teams, though the figure lacks a traceable primary survey.","Staffing Management Group","Staffing Management Group","https://www.staffingmanagementgroup.com/the-2025-staffing-outlook-where-the-industry-is-headed-next","","[{""id"":""staffing-management-group-7b7d9"",""publisher"":""Staffing Management Group"",""title"":""Staffing Management Group"",""url"":""https://www.staffingmanagementgroup.com/the-2025-staffing-outlook-where-the-industry-is-headed-next""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026",""
"upwork-annual-revenue","Upwork annual revenue","787.8","$M","$787.8M","2025","Contingent Talent","verified","Upwork booked a record $787.8 million in full-year 2025 revenue, the high-water mark for the largest freelance marketplace.","U.S. SEC (Upwork Form 8-K)","U.S. SEC (Upwork Form 8-K)","https://www.sec.gov/Archives/edgar/data/0001627475/000162747526000005/exhibit991-upwork4q25andfu.htm","","[{""id"":""u-s-sec-upwork-form-8-k-gwq6x"",""publisher"":""U.S. SEC (Upwork Form 8-K)"",""title"":""U.S. SEC (Upwork Form 8-K)"",""url"":""https://www.sec.gov/Archives/edgar/data/0001627475/000162747526000005/exhibit991-upwork4q25andfu.htm""}]","https://airecruiter.co/blog/talent-marketplaces-forecast-2026",""
"data-interviews-per-hire","Interviews per hire for data roles","19.5","","19.5","2026","Assessment & Interview","verified","Data roles average 19.5 interviews per hire, the most of any function, versus just 9.5 for customer support, the lowest.","Ashby","2026 Recruiter Productivity Trends Report","https://www.ashbyhq.com/talent-trends-report/reports/2023-recruiter-productivity-trends-report","2026","[{""id"":""ashby-1vx29"",""publisher"":""Ashby"",""title"":""2026 Recruiter Productivity Trends Report"",""url"":""https://www.ashbyhq.com/talent-trends-report/reports/2023-recruiter-productivity-trends-report"",""year"":""2026""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026",""
"ai-human-retention-lift","Retention lift with AI screen plus human interview","25","%","25%","2026","Assessment & Interview","reported","The combined AI-screening-plus-human-interview model is reported to lift first-year retention by 25%, a figure widely cited but lacking primary research.","SelectSoftware Reviews","AI Recruiting Statistics","https://www.selectsoftwarereviews.com/blog/ai-recruiting-statistics","","[{""id"":""selectsoftware-reviews-uti7z"",""publisher"":""SelectSoftware Reviews"",""title"":""AI Recruiting Statistics"",""url"":""https://www.selectsoftwarereviews.com/blog/ai-recruiting-statistics""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"skills-based-hiring-priority","Recruiters expecting skills-based hiring to be a priority","75","%","75%","2025","Skills & Mobility","reported","Three in four talent professionals expect skills-based hiring to be a priority for their organization over the next 18 months, a clear signal of the shift away from credential-led selection.","LinkedIn (Future of Recruiting)","LinkedIn (Future of Recruiting)","https://business.linkedin.com/talent-solutions/resources/future-of-recruiting","","[{""id"":""linkedin-future-of-recruiting-1ihw1"",""publisher"":""LinkedIn (Future of Recruiting)"",""title"":""LinkedIn (Future of Recruiting)"",""url"":""https://business.linkedin.com/talent-solutions/resources/future-of-recruiting""}]","https://airecruiter.co/blog/ta-market-map-2026",""
"gm-screening-efficiency","GM screening efficiency gain with AI","72","%","72%","2025","Skills & Mobility","modeled","General Motors reported a 72% increase in screening efficiency using HiredScore AI, a flagship enterprise outcome for AI-assisted selection.","Workday (HiredScore customer story)","Workday (HiredScore customer story)","https://www.workday.com/en-us/customer-stories/a-h/automotive-company-zero-emissions-talent-pipeline.html","","[{""id"":""workday-hiredscore-customer-story-19pcq"",""publisher"":""Workday (HiredScore customer story)"",""title"":""Workday (HiredScore customer story)"",""url"":""https://www.workday.com/en-us/customer-stories/a-h/automotive-company-zero-emissions-talent-pipeline.html""}]","https://airecruiter.co/blog/ats-market-share-2026",""
"fake-candidate-profiles","Candidate profiles projected to be fake","25","%","25%","2028 (projected)","Candidate Trust","modeled","Gartner projects that by 2028 one in four candidate profiles worldwide will be fake, a looming verification challenge for hiring teams.","Gartner","Gartner","https://www.gartner.com/en/newsroom/press-releases/2025-07-31-gartner-survey-shows-just-26-percent-of-job-applicants-trust-ai-will-fairly-evaluate-them","","[{""id"":""gartner-9o5le"",""publisher"":""Gartner"",""title"":""Gartner"",""url"":""https://www.gartner.com/en/newsroom/press-releases/2025-07-31-gartner-survey-shows-just-26-percent-of-job-applicants-trust-ai-will-fairly-evaluate-them""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"candidates-abandon-ai-interview","Candidates abandoning an AI interview process","38","%","38%","2026","Candidate Trust","verified","38% of candidates have walked away from a hiring process because it included an AI interview, with another 12% saying they would.","Greenhouse","63% of Job Seekers Have Faced an AI Interview, Most Haven't Had a Good One Yet","https://www.greenhouse.com/newsroom/63-of-job-seekers-have-faced-an-ai-interview-most-havent-had-a-good-one-yet","","[{""id"":""greenhouse-txr7j"",""publisher"":""Greenhouse"",""title"":""63% of Job Seekers Have Faced an AI Interview, Most Haven't Had a Good One Yet"",""url"":""https://www.greenhouse.com/newsroom/63-of-job-seekers-have-faced-an-ai-interview-most-havent-had-a-good-one-yet""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026",""
"orgs-not-measuring-ai-roi","Organizations not measuring AI ROI","56","%","56%","2026","People Analytics","verified","Over half of organizations do not formally measure the success of their AI investments at all, a major governance and ROI gap.","SHRM","State of AI in HR 2026: Full Report","https://www.shrm.org/topics-tools/research/state-of-ai-hr-2026/full-report","2026","[{""id"":""shrm-1trkn"",""publisher"":""SHRM"",""title"":""State of AI in HR 2026: Full Report"",""url"":""https://www.shrm.org/topics-tools/research/state-of-ai-hr-2026/full-report"",""year"":""2026""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"hires-per-recruiter-quarter","Hires per recruiter per quarter","7.3","","7.3","Q1 2026","People Analytics","verified","Recruiter productivity recovered to about 7.3 hires per quarter, rebounding from a trough of 4.5 in early 2023.","Ashby","2026 Recruiter Productivity Trends Report","https://www.ashbyhq.com/talent-trends-report/reports/2023-recruiter-productivity-trends-report","2026","[{""id"":""ashby-1vx29"",""publisher"":""Ashby"",""title"":""2026 Recruiter Productivity Trends Report"",""url"":""https://www.ashbyhq.com/talent-trends-report/reports/2023-recruiter-productivity-trends-report"",""year"":""2026""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026","Up from a 4.5 trough in early 2023."
